team,name,display-name,image-url,role
Liverpool,Alexander Isak,Isak,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250089868.jpg,outfield
Liverpool,Mohamed Salah,Salah,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250052469.jpg,outfield
Liverpool,Federico Chiesa,Chiesa,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250090398.jpg,outfield
Liverpool,Cody Gakpo,Gakpo,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250096849.jpg,outfield
Liverpool,Hugo Ekitiké,Ekitiké,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250144643.jpg,outfield
Liverpool,Kieran Morrison,Morrison,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250178246.jpg,outfield
Liverpool,Rio Ngumoha,Ngumoha,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250195782.jpg,outfield
Liverpool,Jayden Danns,Danns,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250165085.jpg,outfield
Barcelona,Joan García,Joan García,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250118131.jpg,goalkeeper
Barcelona,Wojciech Szczęsny,Szczęsny,https://img.uefa.com/imgml/TP/players/1/2026/324x324/108501.jpg,goalkeeper
Barcelona,Diego Kochen,Kochen,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250169576.jpg,goalkeeper
Barcelona,Eder Aller,Aller,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250190381.jpg,goalkeeper
Barcelona,Max Bonfill,Bonfill,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250192606.jpg,goalkeeper
Barcelona,João Cancelo,Cancelo,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250024746.jpg,outfield
Barcelona,Alejandro Balde,Balde,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250135416.jpg,outfield
Barcelona,Ronald Araújo,Araújo,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250134170.jpg,outfield
Barcelona,Pau Cubarsí,Cubarsí,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250176453.jpg,outfield
Barcelona,Andreas  Christensen,Christensen,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250041718.jpg,outfield
Barcelona,Marc Casadó,Casadó,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250129965.jpg,outfield
Barcelona,Gerard Martín,Martín,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250197801.jpg,outfield
